school;region;klados ;deksiothta;importance;Επάρκεια;Αναντισττοιχία
ΕΠΑΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;;;0
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Χρήση κατάλληλου προστατευτικού εξοπλισμού;9,5;8,5;1
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Εφαρμογή εργονομικών αρχών στην εργασία;9,5;8;1,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Επιθεώρηση της ποιότητας των προϊόντων;9,5;8,5;1
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Χρήση εργαλείων μέτρησης;9;8;1
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Ερμηνεία δισδιάστατων σχεδίων;9;8,5;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Διόρθωση των δυσλειτουργιών του εξοπλισμού;9;8,5;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Διενέργεια δοκιμαστικής λειτουργίας;9;8,5;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;9;8,5;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Τήρηση αρχείων για την πορεία των εργασιών;8,5;8;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);8,5;8;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Παρακολούθηση των αυτοματοποιημένων μηχανών;8,5;8;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Μελέτη τεχνικών πηγών;8,5;8;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;8,5;8;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Ερμηνεία τρισδιάστατων σχεδίων;8,5;7,5;1
ΕΠΑΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Εντοπισμός και διόρθωση προβλημάτων;8,5;8;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Χρήση κατάλληλου προστατευτικού εξοπλισμού;9,75;9,5;0,25
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Τήρηση αρχείων για την πορεία των εργασιών;9,75;8,75;1
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Εντοπισμός και διόρθωση προβλημάτων;9,75;8,5;1,25
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Επιθεώρηση της ποιότητας των προϊόντων;9,67;8,67;1
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Διενέργεια δοκιμαστικής λειτουργίας;9,5;8,75;0,75
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);9;8,5;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Μελέτη τεχνικών πηγών;9;7;2
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Εφαρμογή εργονομικών αρχών στην εργασία;9;7,33;1,67
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Διόρθωση των δυσλειτουργιών του εξοπλισμού;9;8;1
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Παρακολούθηση των αυτοματοποιημένων μηχανών;8,5;6,5;2
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Χρήση εργαλείων μέτρησης;7,5;7,5;0
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Ερμηνεία τρισδιάστατων σχεδίων;7;6;1
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Ερμηνεία δισδιάστατων σχεδίων;7;6;1
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;7;6;1
ΕΠΑΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;5;5;0
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Εντοπισμός και διόρθωση προβλημάτων;9,67;9,33;0,34
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Διόρθωση των δυσλειτουργιών του εξοπλισμού;9;7,5;1,5
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Τήρηση αρχείων για την πορεία των εργασιών;8,5;8,5;0
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Επιθεώρηση της ποιότητας των προϊόντων;8,5;8;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);8;8;0
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Διενέργεια δοκιμαστικής λειτουργίας;8;7,33;0,67
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Μελέτη τεχνικών πηγών;7,5;7;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χρήση κατάλληλου προστατευτικού εξοπλισμού;7,33;7,33;0
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;7;7;0
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χρήση εργαλείων μέτρησης;6;6;0
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Παρακολούθηση των αυτοματοποιημένων μηχανών;4,5;4,5;0
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Εφαρμογή εργονομικών αρχών στην εργασία;4;4;0
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ερμηνεία τρισδιάστατων σχεδίων;4;5;-1
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ερμηνεία δισδιάστατων σχεδίων;1;1;0
ΕΠΑΛ;Δυτική Ελλάδα;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;0;0;0
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Χρήση εργαλείων μέτρησης;10;9,5;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Τήρηση αρχείων για την πορεία των εργασιών;10;8,67;1,33
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Μελέτη τεχνικών πηγών;10;9,5;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Διόρθωση των δυσλειτουργιών του εξοπλισμού;10;10;0
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Διενέργεια δοκιμαστικής λειτουργίας;10;9;1
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;10;9;1
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Εντοπισμός και διόρθωση προβλημάτων;9,75;9;0,75
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Χρήση κατάλληλου προστατευτικού εξοπλισμού;9,67;9,67;0
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);;;0
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Παρακολούθηση των αυτοματοποιημένων μηχανών;;;0
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;;;0
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Εφαρμογή εργονομικών αρχών στην εργασία;;;0
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Ερμηνεία τρισδιάστατων σχεδίων;;;0
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Ερμηνεία δισδιάστατων σχεδίων;;;0
ΕΠΑΛ;Δυτική Ελλάδα;Εκπαίδευση;Επιθεώρηση της ποιότητας των προϊόντων;;;0
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Διενέργεια δοκιμαστικής λειτουργίας;9,8;8,6;1,2
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Χρήση κατάλληλου προστατευτικού εξοπλισμού;9,6;8,4;1,2
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Διόρθωση των δυσλειτουργιών του εξοπλισμού;9,25;6,25;3
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Τήρηση αρχείων για την πορεία των εργασιών;9,2;8;1,2
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Εντοπισμός και διόρθωση προβλημάτων;8,8;6,8;2
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Εφαρμογή εργονομικών αρχών στην εργασία;8,75;6,25;2,5
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Παρακολούθηση των αυτοματοποιημένων μηχανών;8,2;6,2;2
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Επιθεώρηση της ποιότητας των προϊόντων;8;7,6;0,4
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);7,67;6,67;1
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Χρήση εργαλείων μέτρησης;7,33;4,33;3
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;7,33;5;2,33
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Ερμηνεία δισδιάστατων σχεδίων;7;5;2
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Ερμηνεία τρισδιάστατων σχεδίων;6,5;5;1,5
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;6;4,25;1,75
ΕΠΑΛ;Δυτική Ελλάδα;Ενημέρωση και επικοινωνία;Μελέτη τεχνικών πηγών;5,8;5;0,8
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Τήρηση αρχείων για την πορεία των εργασιών;8,67;6,71;1,96
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Εντοπισμός και διόρθωση προβλημάτων;8,56;6,57;1,99
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Χρήση κατάλληλου προστατευτικού εξοπλισμού;8;7,14;0,86
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Διόρθωση των δυσλειτουργιών του εξοπλισμού;8;6;2
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ερμηνεία δισδιάστατων σχεδίων;7,57;4,67;2,9
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Διενέργεια δοκιμαστικής λειτουργίας;7,56;6,86;0,7
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Χρήση εργαλείων μέτρησης;7,43;5,33;2,1
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ερμηνεία τρισδιάστατων σχεδίων;7,29;4,33;2,96
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Εφαρμογή εργονομικών αρχών στην εργασία;7,25;6,67;0,58
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Επιθεώρηση της ποιότητας των προϊόντων;7,25;6,83;0,42
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Παρακολούθηση των αυτοματοποιημένων μηχανών;7,11;6,86;0,25
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Μελέτη τεχνικών πηγών;6,89;6,43;0,46
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;6,75;6,17;0,58
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;5,75;4,5;1,25
ΕΠΑΛ;Δυτική Ελλάδα;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);5,25;4,83;0,42
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;10;8;2
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Χρήση κατάλληλου προστατευτικού εξοπλισμού;9,5;8,6;0,9
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Μελέτη τεχνικών πηγών;9;7,2;1,8
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Εφαρμογή εργονομικών αρχών στην εργασία;9;7,5;1,5
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;8,83;5,6;3,23
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Παρακολούθηση των αυτοματοποιημένων μηχανών;8,6;6,75;1,85
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Επιθεώρηση της ποιότητας των προϊόντων;8,6;6,5;2,1
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Διενέργεια δοκιμαστικής λειτουργίας;8,6;7,25;1,35
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Εντοπισμός και διόρθωση προβλημάτων;8,5;6;2,5
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);8,2;6;2,2
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Χρήση εργαλείων μέτρησης;7,86;6;1,86
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Τήρηση αρχείων για την πορεία των εργασιών;7,67;5,6;2,07
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Διόρθωση των δυσλειτουργιών του εξοπλισμού;7,6;5,75;1,85
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Ερμηνεία δισδιάστατων σχεδίων;6,67;4,8;1,87
ΕΠΑΛ;Δυτική Ελλάδα;Κατασκευές;Ερμηνεία τρισδιάστατων σχεδίων;6;4,4;1,6
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Χρήση κατάλληλου προστατευτικού εξοπλισμού;9,85;7,85;2
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Επιθεώρηση της ποιότητας των προϊόντων;9,82;7,09;2,73
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Εφαρμογή εργονομικών αρχών στην εργασία;9,18;6,82;2,36
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Παρακολούθηση των αυτοματοποιημένων μηχανών;8,83;6,83;2
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;8,6;6;2,6
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Διενέργεια δοκιμαστικής λειτουργίας;8,55;6,91;1,64
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Διόρθωση των δυσλειτουργιών του εξοπλισμού;8,5;6,1;2,4
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Μελέτη τεχνικών πηγών;8,45;6,09;2,36
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Τήρηση αρχείων για την πορεία των εργασιών;8,33;6,5;1,83
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);8,3;6,7;1,6
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Χρήση εργαλείων μέτρησης;8,27;6,36;1,91
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Εντοπισμός και διόρθωση προβλημάτων;8,08;5,75;2,33
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Ερμηνεία τρισδιάστατων σχεδίων;6,89;5,33;1,56
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Ερμηνεία δισδιάστατων σχεδίων;6,78;5,44;1,34
ΕΠΑΛ;Δυτική Ελλάδα;Μεταποίηση;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;6,78;5,11;1,67
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Χρήση κατάλληλου προστατευτικού εξοπλισμού;9,6;9,2;0,4
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Διόρθωση των δυσλειτουργιών του εξοπλισμού;9,6;7,6;2
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Μελέτη τεχνικών πηγών;9,5;8;1,5
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;9,5;7;2,5
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Διενέργεια δοκιμαστικής λειτουργίας;9,2;8,6;0,6
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);9;6,5;2,5
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Εντοπισμός και διόρθωση προβλημάτων;8,8;8;0,8
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Τήρηση αρχείων για την πορεία των εργασιών;8,5;7,5;1
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Επιθεώρηση της ποιότητας των προϊόντων;8,5;7,25;1,25
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;8,5;7;1,5
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Ερμηνεία τρισδιάστατων σχεδίων;8;7;1
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Ερμηνεία δισδιάστατων σχεδίων;7,67;6,33;1,34
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Εφαρμογή εργονομικών αρχών στην εργασία;7,5;5,5;2
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Παρακολούθηση των αυτοματοποιημένων μηχανών;7,33;6;1,33
ΕΠΑΛ;Δυτική Ελλάδα;Μεταφορά και αποθήκευση;Χρήση εργαλείων μέτρησης;7;6;1
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Χρήση κατάλληλου προστατευτικού εξοπλισμού;10;9;1
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);10;10;0
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Παρακολούθηση των αυτοματοποιημένων μηχανών;10;10;0
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Μελέτη τεχνικών πηγών;10;9,5;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Εφαρμογή εργονομικών αρχών στην εργασία;10;10;0
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Επιθεώρηση της ποιότητας των προϊόντων;10;10;0
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Εντοπισμός και διόρθωση προβλημάτων;10;9;1
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Διόρθωση των δυσλειτουργιών του εξοπλισμού;10;9;1
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Διενέργεια δοκιμαστικής λειτουργίας;10;9,5;0,5
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;9;7,5;1,5
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Τήρηση αρχείων για την πορεία των εργασιών;8,67;8,67;0
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Χρήση εργαλείων μέτρησης;7;7;0
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Ερμηνεία τρισδιάστατων σχεδίων;7;7;0
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Ερμηνεία δισδιάστατων σχεδίων;6,5;6,5;0
ΕΠΑΛ;Δυτική Ελλάδα;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;;;0
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Χρήση κατάλληλου προστατευτικού εξοπλισμού;10;7,5;2,5
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Διενέργεια δοκιμαστικής λειτουργίας;9,25;8,25;1
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Μελέτη τεχνικών πηγών;9;8,67;0,33
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Επιθεώρηση της ποιότητας των προϊόντων;9;6;3
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Εντοπισμός και διόρθωση προβλημάτων;9;7,75;1,25
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Διόρθωση των δυσλειτουργιών του εξοπλισμού;8,75;8;0,75
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Παρακολούθηση ύψους αποθεμάτων (ΕΠΑΛ);8;6,5;1,5
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Παρακολούθηση των αυτοματοποιημένων μηχανών;8;7,67;0,33
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Εφαρμογή των διαδικασιών ανάλυσης του κινδύνου και των κρίσιμων σημείων ελέγχου;8;8;0
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Εφαρμογή εργονομικών αρχών στην εργασία;8;8;0
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Ανάγνωση τυποποιημένων μηχανολογικών σχεδίων;8;6,5;1,5
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Ερμηνεία δισδιάστατων σχεδίων;7,33;6,67;0,66
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Χρήση εργαλείων μέτρησης;7;6,33;0,67
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Τήρηση αρχείων για την πορεία των εργασιών;7;7,33;-0,33
ΕΠΑΛ;Δυτική Ελλάδα;Τέχνες, διασκέδαση και ψυχαγωγία;Ερμηνεία τρισδιάστατων σχεδίων;6,67;6;0,67
ΕΠΑΛ;Δυτική Ελλάδα;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Χρήση κατάλληλου προστατευτικού εξοπλισμού;9,48;8,72;0,76
